User_ID;Run;Phase;value;x0;x1;x2;x3
7;1;sampling;0.03746466230781968;5.669168388793651;4.307441454901856;0.9407382546152454;3.4807955043599548
7;2;sampling;0.027739394490966407;6.215090383806794;0.2165500318271052;8.746323779455377;8.540495315269421
7;3;sampling;-0.509775332972336;0.443042157882848;8.024209628659042;1.847951614868486;6.956239148985941
7;4;sampling;-1.7601166462247853;1.550002548656667;6.916197559832665;9.586338310644203;9.849849877499476
7;5;sampling;2.1284293131180076;6.632952669932003;1.6358816232223694;3.949106472756698;2.7799521264490146
7;6;optimization;1.117404021370655;7.081018551924636;1.1262647301663304;4.131303271093683;2.414070374860354
7;7;optimization;0.8959828670420307;6.414493019933552;1.8909102180082016;3.8437104117333054;2.941440647737257
7;8;optimization;2.938447431429978;6.163453982539515;2.17909321899337;3.732256628069361;3.131905883847102
7;9;optimization;4.2839638680567225;5.795338696721309;2.603222557243985;3.566284920044624;3.411480343403734
7;10;optimization;2.230440587127688;5.379399040565848;3.0821556445580782;3.3771661320302138;3.721958090157166
7;11;optimization;3.373921842568388;4.990753213679466;3.5278256020992327;3.2030203491383906;4.011342194908823
7;12;optimization;7.058929535457764;4.569587806904765;4.005924120006996;3.024906786032639;4.328014139492432
7;13;optimization;4.768799466321085;4.219187373653131;4.396439489237956;2.888808767838944;4.591906823044465
7;14;optimization;6.1415420931398845;4.659937300148279;3.893206080614292;3.080270349289529;4.260819176176977
7;15;optimization;6.691993642795975;4.643992385844268;3.837015357940603;3.199841496328025;4.279123268716099
7;16;optimization;6.851145916044519;4.53188071635624;4.047399299091448;3.307868659018089;4.324628345870405
7;17;optimization;5.607498468852082;4.401080613517409;4.248609413432476;3.408675018050241;4.280872511067135
7;18;optimization;10.446807144022417;4.1501303226565005;4.44385002451414;3.5319099086432546;4.058897882864011
7;19;optimization;-1.1550958433612002;3.7622359947626527;6.528480599005353;3.788287604642192;2.9184443221331877
7;20;optimization;19.18154854757268;3.97851559646706;4.217748313689378;3.610429547906085;3.930761036752848
