dataset,objective,acquisition,oracle_model,error_model,jitter_std,jitter_iteration,seed,param_columns,delta_excess_verticalPosition,delta_excess_verticalWidth,delta_excess_horizontalWidth,delta_excess_r,delta_excess_g,delta_excess_b,delta_excess_a,delta_excess_blinkFrequency,delta_excess_volume,delta_excess_l2_norm,final_simple_regret_excess_true,final_cum_regret_excess_true,final_avg_regret_excess_true,auc_simple_regret_excess_true,delta_excess_Trajectory,delta_excess_TrajectoryAlpha,delta_excess_TrajectorySize,delta_excess_EgoTrajectory,delta_excess_EgoTrajectoryAlpha,delta_excess_EgoTrajectorySize,delta_excess_PedestrianIntention,delta_excess_PedestrianIntentionSize,delta_excess_SemanticSegmentation,delta_excess_SemanticSegmentationAlpha,delta_excess_CarStatus,delta_excess_CarStatusAlpha,delta_excess_CoveredArea,delta_excess_CoveredAreaAlpha,delta_excess_CoveredAreaSize,delta_excess_OccludedCars
ehmi,composite,logei,extra_trees,gaussian,0.05,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.329691931217109,-0.06659383862434215,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logei,extra_trees,gaussian,0.05,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.649112202381321,-0.07298224404762643,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logei,extra_trees,gaussian,0.05,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6984803571428664,-0.033969607142857294,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logei,extra_trees,gaussian,0.5,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5782237103174364,-0.05156447420634869,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logei,extra_trees,gaussian,0.5,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8806916335979995,-0.03761383267196,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logei,extra_trees,gaussian,0.5,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7044754960318578,-0.05408950992063716,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logei,extra_trees,gaussian,1.0,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.882855108257466,0.09765710216514933,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logei,extra_trees,gaussian,1.0,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4174426256613266,-0.028348852513226497,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logei,extra_trees,gaussian,1.0,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7265614087303085,0.03453122817460619,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logei,extra_trees,gaussian,5.0,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044146296296442955,0.000882925925928868,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logei,extra_trees,gaussian,5.0,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.422640740740647,0.028452814814812932,0.0,,,,,,,,,,,,,,,,
